_EST_NORM,n,codigos,ejemplos
COLEGIO PREUNIVERSITARIO CAMBRIDGE,3,"['13-01-0158-46', '13-01-0231-46', '13-01-0287-46']",['COLEGIO PREUNIVERSITARIO CAMBRIDGE']
COLEGIO PRE UNIVERSITARIO BETHEL,3,"['12-23-0038-46', '12-23-0039-46', '12-23-0045-46']",['COLEGIO PRE UNIVERSITARIO BETHEL']
COLEGIO PRACBIL,3,"['01-08-0533-46', '01-08-7155-46', '01-08-8511-46']",['COLEGIO PRACBIL']
COLEGIO POPOL VUH,3,"['05-09-0063-46', '05-09-0112-46', '05-09-1968-46']",['COLEGIO POPOL VUH']
COLEGIO DE INVESTIGACION CIENTIFICA CONJUNTA DE GUATEMALA,3,"['00-01-9709-46', '00-01-9710-46', '00-01-9712-46']",['COLEGIO DE INVESTIGACION CIENTIFICA CONJUNTA DE GUATEMALA']
COLEGIO PARTICULAR MIXTO VIDA NUEVA,3,"['15-03-0088-46', '15-03-0141-46', '15-03-2053-46']",['COLEGIO PARTICULAR MIXTO VIDA NUEVA']
COLEGIO PARTICULAR MIXTO SANTO DOMINGO,3,"['15-03-0059-46', '15-03-0060-46', '15-03-0062-46']",['COLEGIO PARTICULAR MIXTO SANTO DOMINGO']
COLEGIO PARTICULAR MIXTO SANTA ANA,3,"['12-02-0138-46', '12-02-0144-46', '12-02-0175-46']",['COLEGIO PARTICULAR MIXTO SANTA ANA']
INSTITUTO CENTROAMERICANO DE MERCADOTECNIA Y PUBLICIDAD,3,"['00-01-0310-46', '00-01-0423-46', '00-01-2418-46']",['INSTITUTO CENTROAMERICANO DE MERCADOTECNIA Y PUBLICIDAD']
INSTITUTO BILINGUE ANGLOAMERICANO,3,"['00-01-0446-46', '00-01-0723-46', '00-02-0090-46']",['INSTITUTO BILINGUE ANGLOAMERICANO']
INSTITUTO BASICO ESQUIPULTECO Y CIENCIAS COMERCIALES INBECC,3,"['20-07-0567-46', '20-07-0569-46', '20-07-2408-46']",['INSTITUTO BASICO ESQUIPULTECO Y CIENCIAS COMERCIALES INBECC']
INSTITUTO AMERICA,3,"['00-01-0444-46', '00-02-0061-46', '00-02-0070-46']",['INSTITUTO AMERICA']
INSTITUTO ACTIVO BILINGUE NUEVA GUATEMALA,3,"['21-01-0426-46', '21-01-0427-46', '21-01-0428-46']",['INSTITUTO ACTIVO BILINGUE NUEVA GUATEMALA']
ESCUELA TECNICA MILITAR DE AVIACION PROGRAMA EDUCATIVO INTEGRADO DEL SOLDADO PEISOL DE LA FUERZA AEREA GUATEMALTECA,3,"['00-13-0066-46', '00-13-0083-46', '00-13-9463-46']",['ESCUELA TECNICA MILITAR DE AVIACION PROGRAMA EDUCATIVO INTEGRADO DEL SOLDADO PEISOL DE LA FUERZA AEREA GUATEMALTECA']
INSTITUTO TECNICO SUPERIOR,3,"['00-01-0603-46', '00-01-4393-46', '00-02-0081-46']",['INSTITUTO TECNICO SUPERIOR']
LICEO MIXTO TECNICO EN COMPUTACION SENDA 2000,3,"['00-07-0195-46', '00-07-7646-46', '00-07-8335-46']",['LICEO MIXTO TECNICO EN COMPUTACION SENDA 2000']
LICEO MIXTO TECNICO EN COMPUTACION SENDA 2 000,3,"['00-07-0233-46', '00-07-7645-46', '00-07-7649-46']",['LICEO MIXTO TECNICO EN COMPUTACION SENDA 2 000']
LICEO MIXTO PARTICULAR SAN BENITO,3,"['16-01-0919-46', '16-01-0990-46', '16-01-0991-46']",['LICEO MIXTO PARTICULAR SAN BENITO']
CENTRO DE ESTUDIOS TECNOLOGICOS TECNO PRO,3,"['00-01-3045-46', '00-01-4561-46', '12-17-3048-46']",['CENTRO DE ESTUDIOS TECNOLOGICOS TECNO PRO']
CENTRO DE ESTUDIOS TECNOLOGICOS INTEGRALES,3,"['03-01-0226-46', '03-01-0227-46', '03-01-0228-46']",['CENTRO DE ESTUDIOS TECNOLOGICOS INTEGRALES']
CENTRO DE ESTUDIOS TECNOLOGICOS,3,"['00-01-0849-46', '00-02-6926-46', '01-01-3061-46']",['CENTRO DE ESTUDIOS TECNOLOGICOS']
CENTRO DE ESTUDIOS TECNICO JUVENIL EDUCATIVO,3,"['05-09-0050-46', '05-09-0108-46', '05-09-3076-46']",['CENTRO DE ESTUDIOS TECNICO JUVENIL EDUCATIVO']
INSTITUTO TECNICO EMANUEL,3,"['03-02-0059-46', '03-02-0060-46', '03-02-0066-46']",['INSTITUTO TECNICO EMANUEL']
INSTITUTO CULTURAL AMERICANO,3,"['00-01-0421-46', '00-02-0006-46', '00-02-0098-46']",['INSTITUTO CULTURAL AMERICANO']
COLEGIO PARTICULAR MIXTO SAN JOSE OBRERO I,3,"['22-12-0054-46', '22-12-0057-46', '22-12-1946-46']",['COLEGIO PARTICULAR MIXTO SAN JOSE OBRERO I']
COLEGIO PARTICULAR MIXTO SAN JERONIMO,3,"['15-07-0033-46', '15-07-0034-46', '15-07-0048-46']",['COLEGIO PARTICULAR MIXTO SAN JERONIMO']
LICEO DE CIENCIAS TECNICAS EL REDENTOR,3,"['17-03-0115-46', '17-03-0116-46', '17-03-0145-46']",['LICEO DE CIENCIAS TECNICAS EL REDENTOR']
LICEO DE CIENCIAS TECNICAS COMERCIALES Y DE COMPUTACION,3,"['00-03-7057-46', '00-07-7765-46', '00-07-7890-46']",['LICEO DE CIENCIAS TECNICAS COMERCIALES Y DE COMPUTACION']
CENTRO EDUCATIVO CRISTIANO GENESIS,3,"['17-01-0110-46', '17-01-0123-46', '17-01-0165-46']",['CENTRO EDUCATIVO CRISTIANO GENESIS']
LICEO CULTURA DE AMATITLAN,3,"['01-14-8578-46', '01-14-8579-46', '01-14-8580-46']",['LICEO CULTURA DE AMATITLAN']
CENTRO EDUCATIVO DE INTERACCION EN COMPUTACION,3,"['01-14-0003-46', '01-14-0004-46', '01-14-0006-46']",['CENTRO EDUCATIVO DE INTERACCION EN COMPUTACION']
INSTITUTO DE EDUCACION MEDIA POR MADUREZ,3,"['02-01-0038-46', '02-01-0045-46', '02-01-0071-46']",['INSTITUTO DE EDUCACION MEDIA POR MADUREZ']
INSTITUTO DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ,3,"['01-15-8839-46', '02-05-0019-46', '02-05-0371-46']",['INSTITUTO DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ']
INSTITUTO DE EDUCACION BASICA BILINGUE INTERCULTURAL LA TRINIDAD,3,"['16-09-0828-46', '16-09-0829-46', '16-09-0860-46']",['INSTITUTO DE EDUCACION BASICA BILINGUE INTERCULTURAL LA TRINIDAD']
INSTITUTO DE EDUCACION AVANZADA,3,"['10-08-0029-46', '10-08-1959-46', '10-08-2508-46']",['INSTITUTO DE EDUCACION AVANZADA']
COLEGIO BILINGUE MONTESSORI,3,"['12-01-0177-46', '19-01-0149-46']",['COLEGIO BILINGUE MONTESSORI']
LICEO SANTA CRUZ,3,"['16-02-0020-46', '16-02-0055-46', '17-04-0085-46']",['LICEO SANTA CRUZ']
LICEO SAN JUAN PABLO II,3,"['22-04-0057-46', '22-04-0058-46', '22-04-0059-46']",['LICEO SAN JUAN PABLO II']
LICEO SAN JOSE DE LOS OLIVOS,3,"['01-15-0791-46', '01-15-0793-46', '01-15-9587-46']",['LICEO SAN JOSE DE LOS OLIVOS']
COLEGIO PARTICULAR MIXTO ROSALES,3,"['05-07-0058-46', '05-07-0085-46', '05-14-0050-46']",['COLEGIO PARTICULAR MIXTO ROSALES']
COLEGIO PARTICULAR MIXTO RIO DULCE,3,"['18-02-0254-46', '18-02-0255-46', '18-02-0428-46']",['COLEGIO PARTICULAR MIXTO RIO DULCE']
COLEGIO PARTICULAR MIXTO PURULHA PROFESORA MARIA ZOE LOPEZ,3,"['15-08-0173-46', '15-08-0197-46', '15-08-0220-46']",['COLEGIO PARTICULAR MIXTO PURULHA PROFESORA MARIA ZOE LOPEZ']
COLEGIO PARTICULAR MIXTO PROYECCION,3,"['20-11-0029-46', '20-11-0030-46', '20-11-0464-46']",['COLEGIO PARTICULAR MIXTO PROYECCION']
COLEGIO EDUCACION EN LINEA,3,"['00-11-0008-46', '00-11-0022-46', '00-11-0080-46']",['COLEGIO EDUCACION EN LINEA']
COLEGIO BILINGUE JARDIN AMERICANO,3,"['05-01-0308-46', '05-01-0399-46', '05-01-0459-46']",['COLEGIO BILINGUE JARDIN AMERICANO']
INSTITUTO DE COMPUTACION INFORMATICA POTENCIA TECNOLOGICA DEL FUTURO,3,"['07-10-0039-46', '07-10-2780-46', '07-10-2986-46']",['INSTITUTO DE COMPUTACION INFORMATICA POTENCIA TECNOLOGICA DEL FUTURO']
INSTITUTO DE COMPUTACION DE INFORMATICA I C I,3,"['05-09-0024-46', '05-09-0027-46', '05-09-0028-46']",['INSTITUTO DE COMPUTACION DE INFORMATICA I C I']
INSTITUTO TECNICO ASTURIAS,3,"['09-20-0093-46', '09-20-0098-46', '09-20-0135-46']",['INSTITUTO TECNICO ASTURIAS']
INSTITUTO SAN JUAN DE LA CRUZ,3,"['00-07-0015-46', '00-07-0016-46', '00-07-0022-46']",['INSTITUTO SAN JUAN DE LA CRUZ']
INSTITUTO PROFESIONAL DE COMPUTACION,3,"['01-15-0274-46', '01-15-0685-46', '01-15-3092-46']",['INSTITUTO PROFESIONAL DE COMPUTACION']
COLEGIO PARTICULAR MIXTO NIHAIB,3,"['12-17-0025-46', '12-17-0031-46', '12-17-5373-46']",['COLEGIO PARTICULAR MIXTO NIHAIB']
COLEGIO PARTICULAR MIXTO MINERVA,3,"['18-04-0016-46', '18-04-0017-46', '18-04-0170-46']",['COLEGIO PARTICULAR MIXTO MINERVA']
LICEO MIXTO CRISTIANO ISRAEL SOCIEDAD ANONIMA,3,"['00-21-0001-46', '00-21-8141-46', '01-17-0363-46']",['LICEO MIXTO CRISTIANO ISRAEL SOCIEDAD ANONIMA']
LICEO MIXTO BILINGUE PEDAGOGICO MODERNO,3,"['06-10-0030-46', '06-10-0031-46', '06-10-1932-46']",['LICEO MIXTO BILINGUE PEDAGOGICO MODERNO']
INSTITUTO PRIVADO VESPERTINO PROF JOSE OTILIO FLORES CARBAJAL,3,"['17-10-0184-46', '17-10-0185-46', '17-10-0186-46']",['INSTITUTO PRIVADO VESPERTINO PROF JOSE OTILIO FLORES CARBAJAL']
COLEGIO BILINGUE DE COMPUTACION C B C,3,"['00-07-0002-46', '00-07-2512-46', '00-07-9263-46']",['COLEGIO BILINGUE DE COMPUTACION C B C']
INSTITUTO EDUCATIVO ASISTENCIAL EMILIANI Y HOGAR DE HUERFANOS SANTA TERESA,3,"['01-08-0009-46', '01-08-0010-46', '01-08-1714-46']",['INSTITUTO EDUCATIVO ASISTENCIAL EMILIANI Y HOGAR DE HUERFANOS SANTA TERESA']
INSTITUTO DIVERSIFICADO MIXTO BILINGUE,3,"['14-05-0084-46', '14-05-5456-46']",['INSTITUTO DIVERSIFICADO MIXTO BILINGUE']
INSTITUTO DIVERSIFICADO,3,"['07-06-0092-46', '19-10-0013-46']",['INSTITUTO DIVERSIFICADO']
COLEGIO BILINGUE INTEGRAL CIENCIA ARTE Y NACIONALISMO ICAN,3,"['04-04-0045-46', '04-04-0061-46', '04-04-0079-46']",['COLEGIO BILINGUE INTEGRAL CIENCIA ARTE Y NACIONALISMO ICAN']
COLEGIO BILINGUE ESPECIALIZADO EN COMPUTACION YULIMAY PC POR MADUREZ,3,"['00-01-8673-46', '00-01-8675-46', '00-01-8678-46']",['COLEGIO BILINGUE ESPECIALIZADO EN COMPUTACION YULIMAY PC POR MADUREZ']
INSTITUTO DE NIVEL MEDIO DE PROYECCION SOCIAL Y COMUNITARIA LA VOZ DE LA ESPERANZA,3,"['04-12-0031-46', '04-12-0032-46', '04-12-2842-46']",['INSTITUTO DE NIVEL MEDIO DE PROYECCION SOCIAL Y COMUNITARIA LA VOZ DE LA ESPERANZA']
INSTITUTO DE ESTUDIOS AVANZADOS EL SABER I D E A S,3,"['05-01-0427-46', '05-01-2658-46', '05-01-2747-46']",['INSTITUTO DE ESTUDIOS AVANZADOS EL SABER I D E A S']
INSTITUTO MIXTO LOMA LINDA,3,"['03-06-0056-46', '03-06-1374-46', '03-06-1375-46']",['INSTITUTO MIXTO LOMA LINDA']
INSTITUTO MIXTO EL EDEN,3,"['01-08-0461-46', '01-08-0835-46', '01-08-2769-46']",['INSTITUTO MIXTO EL EDEN']
CENTRO DE ESTUDIOS COMERCIALES EN INFORMATICA,3,"['00-01-0848-46', '00-01-7388-46', '00-01-8158-46']",['CENTRO DE ESTUDIOS COMERCIALES EN INFORMATICA']
CENTRO DE ESTUDIOS CIUDAD VIEJA,3,"['03-12-0032-46', '03-12-0034-46', '03-12-0035-46']",['CENTRO DE ESTUDIOS CIUDAD VIEJA']
LICEO DE COMPUTACION SIGLO 21 NO 2,3,"['00-01-7041-46', '00-01-9615-46', '00-01-9616-46']",['LICEO DE COMPUTACION SIGLO 21 NO 2']
COLEGIO EL LEGADO,3,"['04-03-0101-46', '04-03-2987-46', '04-03-2991-46']",['COLEGIO EL LEGADO']
COLEGIO EL BOSQUE,3,"['22-01-0270-46', '22-01-0314-46', '22-01-0426-46']",['COLEGIO EL BOSQUE']
COLEGIO EDUCATIVO PRIVADO MIXTO DE FORMACION INTEGRAL EN COMPUTACION CEIF COMP,3,"['18-01-0420-46', '18-01-2823-46', '18-01-2830-46']",['COLEGIO EDUCATIVO PRIVADO MIXTO DE FORMACION INTEGRAL EN COMPUTACION CEIF COMP']
COLEGIO PARTICULAR MIXTO KAIROS,3,"['16-10-0062-46', '16-10-0063-46', '16-10-0072-46']",['COLEGIO PARTICULAR MIXTO KAIROS']
COLEGIO PARTICULAR MIXTO IXTAPAN,3,"['05-10-0035-46', '05-10-0036-46', '05-10-0039-46']",['COLEGIO PARTICULAR MIXTO IXTAPAN']
COLEGIO PARTICULAR MIXTO GENESIS,3,"['22-01-0282-46', '22-01-0336-46', '22-01-0340-46']",['COLEGIO PARTICULAR MIXTO GENESIS']
LICEO ORIENTAL,3,"['22-01-0326-46', '22-01-0329-46', '22-01-0424-46']",['LICEO ORIENTAL']
INSTITUTO TECNICO DIVERSIFICADO DE BACHILLERATO EN CONSTRUCCION,3,"['00-12-0906-46', '16-09-0720-46', '16-09-0830-46']",['INSTITUTO TECNICO DIVERSIFICADO DE BACHILLERATO EN CONSTRUCCION']
INSTITUTO TECNICO DE FORMACION INTEGRAL INTECFORI,3,"['21-06-0041-46', '21-06-0052-46', '21-06-1135-46']",['INSTITUTO TECNICO DE FORMACION INTEGRAL INTECFORI']
CENTRO EDUCATIVO NUESTRA SENORA DE LA ESPERANZA,3,"['06-14-0450-46', '06-14-1830-46', '06-14-2044-46']",['CENTRO EDUCATIVO NUESTRA SENORA DE LA ESPERANZA']
CENTRO EDUCATIVO MONTENEVADO,3,"['00-01-0587-46', '00-01-8844-46', '00-01-8845-46']",['CENTRO EDUCATIVO MONTENEVADO']
INSTITUTO PRIVADO TECNICO AMERICANO,3,"['00-01-0314-46', '00-01-4612-46', '00-02-0068-46']",['INSTITUTO PRIVADO TECNICO AMERICANO']
INSTITUTO PRIVADO RAFAEL AREVALO MARTINEZ,3,"['09-20-0160-46', '09-20-0655-46', '09-20-3052-46']",['INSTITUTO PRIVADO RAFAEL AREVALO MARTINEZ']
CENTRO EDUCATIVO PRIVADO DEL SUR,3,"['09-20-0045-46', '09-20-0083-46', '09-20-0157-46']",['CENTRO EDUCATIVO PRIVADO DEL SUR']
INSTITUTO MIXTO PRIVADO INDUSTRIAL ISRAEL,3,"['00-21-0088-46', '00-21-0089-46', '00-21-0090-46']",['INSTITUTO MIXTO PRIVADO INDUSTRIAL ISRAEL']
INSTITUTO MIXTO PRIVADO EL MAESTRO AMIGO,3,"['00-07-0660-46', '00-07-8555-46', '00-07-9664-46']",['INSTITUTO MIXTO PRIVADO EL MAESTRO AMIGO']
COLEGIO PARTICULAR MIXTO EL DIVINO MAESTRO,3,"['21-07-0001-46', '21-07-0092-46', '21-07-0093-46']",['COLEGIO PARTICULAR MIXTO EL DIVINO MAESTRO']
COLEGIO PARTICULAR MIXTO EBEN EZER,3,"['22-01-0350-46', '22-01-0414-46', '22-01-2431-46']",['COLEGIO PARTICULAR MIXTO EBEN EZER']
COLEGIO PARTICULAR MIXTO DEL VALLE,3,"['16-08-0223-46', '16-08-0224-46', '16-08-0225-46']",['COLEGIO PARTICULAR MIXTO DEL VALLE']
COLEGIO PARTICULAR MIXTO CENTRO INTEGRAL SISTEMATICO CIS,3,"['06-08-0093-46', '06-08-1156-46', '06-08-1800-46']",['COLEGIO PARTICULAR MIXTO CENTRO INTEGRAL SISTEMATICO CIS']
LICEO EDUCATIVO LA ASUNCION,3,"['01-15-0266-46', '01-15-8911-46', '01-15-8927-46']",['LICEO EDUCATIVO LA ASUNCION']
LICEO DR LUIS VON AHN,3,"['18-01-0365-46', '18-01-0394-46', '18-01-0436-46']",['LICEO DR LUIS VON AHN']
LICEO DE ENSENANZA SUPERIOR INTERNACIONAL LESI,3,"['03-01-0098-46', '03-01-0100-46', '03-01-1282-46']",['LICEO DE ENSENANZA SUPERIOR INTERNACIONAL LESI']
INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGUE,3,"['16-11-9092-46', '16-15-0172-46', '16-15-2330-46']",['INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGUE']
INSTITUTO MIXTO MUNICIPAL NAWAL,3,"['03-05-0002-46', '03-05-0030-46', '03-05-1259-46']",['INSTITUTO MIXTO MUNICIPAL NAWAL']
COLEGIO ANTIGUA,3,"['03-01-0210-46', '03-01-0947-46', '03-01-1403-46']",['COLEGIO ANTIGUA']
COLEGIO AMISADAI,3,"['12-15-0141-46', '12-15-0142-46', '12-15-0143-46']",['COLEGIO AMISADAI']
LICEO EVANGELICO EL EDEN,3,"['05-01-0207-46', '05-01-0350-46', '05-01-0432-46']",['LICEO EVANGELICO EL EDEN']
CENTRO EDUCATIVO CIENTIFICO DE INFORMATICA,3,"['00-02-3142-46', '01-08-8067-46', '01-08-8572-46']",['CENTRO EDUCATIVO CIENTIFICO DE INFORMATICA']
LICEO EN INFORMATICA Y CIENCIAS AVANZADAS CERMA,3,"['05-06-0043-46', '05-06-0091-46', '05-06-0142-46']",['LICEO EN INFORMATICA Y CIENCIAS AVANZADAS CERMA']
LICEO EN COMPUTACION DEL VALLE,3,"['00-01-9195-46', '00-01-9197-46', '00-01-9198-46']",['LICEO EN COMPUTACION DEL VALLE']
LICEO EN COMPUTACION 2000,3,"['00-06-7858-46', '00-06-7859-46', '00-06-9714-46']",['LICEO EN COMPUTACION 2000']
LICEO DE EDUCACION SUPERIOR PREUNIVERSITARIO,3,"['10-01-0239-46', '10-01-0241-46', '10-01-0392-46']",['LICEO DE EDUCACION SUPERIOR PREUNIVERSITARIO']
LICEO MIXTO EDUCATIVO DE FORMACION INTEGRAL LIMEFI,3,"['05-01-0314-46', '05-01-0315-46', '05-01-0317-46']",['LICEO MIXTO EDUCATIVO DE FORMACION INTEGRAL LIMEFI']
COLEGIO PARTICULAR MIXTO BRISAS DEL CHINGO,3,"['22-06-0011-46', '22-06-0021-46', '22-06-0033-46']",['COLEGIO PARTICULAR MIXTO BRISAS DEL CHINGO']
COLEGIO PARTICULAR MIXTO ADOLFO MENDEZ ZEPEDA,3,"['09-20-3645-46', '12-01-4212-46', '12-01-5428-46']",['COLEGIO PARTICULAR MIXTO ADOLFO MENDEZ ZEPEDA']
COLEGIO EVANGELICO DE EDUCACION INTEGRAL ELIM,3,"['22-01-0361-46', '22-01-0363-46', '22-01-0429-46']",['COLEGIO EVANGELICO DE EDUCACION INTEGRAL ELIM']
COLEGIO PANAMERICANO NO 8,3,"['10-01-0228-46', '10-01-0230-46', '10-01-0231-46']",['COLEGIO PANAMERICANO NO 8']
COLEGIO MUNICIPAL DE EDUCACION DIVERSIFICADA,3,"['20-07-0079-46', '20-08-0018-46', '20-08-0019-46']",['COLEGIO MUNICIPAL DE EDUCACION DIVERSIFICADA']
INSTITUTO PRIVADO URBANO MIXTO TECNICO EN COMPUTACION ITCRB,3,"['12-28-0006-46', '12-28-0008-46', '12-28-4200-46']",['INSTITUTO PRIVADO URBANO MIXTO TECNICO EN COMPUTACION ITCRB']
CENTRO EDUCATIVO PAULO FREIRE,3,"['00-01-8084-46', '00-01-8201-46', '00-06-3139-46']",['CENTRO EDUCATIVO PAULO FREIRE']
CENTRO EDUCATIVO OPORTUNIDAD C E O,3,"['05-06-0123-46', '05-06-0124-46', '05-06-0132-46']",['CENTRO EDUCATIVO OPORTUNIDAD C E O']
INSTITUTO PRIVADO TECNOLOGICO INTERCONTINENTAL SION,3,"['08-02-0050-46', '08-02-0053-46', '08-02-0069-46']",['INSTITUTO PRIVADO TECNOLOGICO INTERCONTINENTAL SION']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA DOCTORA SARA CABARRUS DE RUIZ,3,"['00-06-0077-46', '00-06-0078-46', '00-06-0081-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA DOCTORA SARA CABARRUS DE RUIZ']
INSTITUTO MUNICIPAL MIXTO DE EDUCACION,3,"['03-10-0008-46', '03-10-0010-46', '03-10-0017-46']",['INSTITUTO MUNICIPAL MIXTO DE EDUCACION']
INSTITUTO MUNICIPAL DE EDUCACION BASICA Y DIVERSIFICADA,3,"['05-05-0027-46', '05-05-0073-46', '18-04-0154-46']",['INSTITUTO MUNICIPAL DE EDUCACION BASICA Y DIVERSIFICADA']
INSTITUTO MUNICIPAL DE EDUCACION BASICA POR MADUREZ Y DIVERSIFICADO,3,"['05-07-0048-46', '05-07-0049-46', '05-07-0069-46']",['INSTITUTO MUNICIPAL DE EDUCACION BASICA POR MADUREZ Y DIVERSIFICADO']
INSTITUTO MUNICIPAL DE EDUCACION BASICA,3,"['03-01-0220-46', '05-02-0275-46', '05-02-0276-46']",['INSTITUTO MUNICIPAL DE EDUCACION BASICA']
INSTITUTO MUNICIPAL DE EDUCACION,3,"['21-06-0036-46', '21-06-0038-46', '21-06-0054-46']",['INSTITUTO MUNICIPAL DE EDUCACION']
COLEGIO ALBERT EINSTEIN,3,"['09-01-0225-46', '09-01-0226-46', '09-01-0505-46']",['COLEGIO ALBERT EINSTEIN']
INSTITUTO MIXTO PRIVADO SANTO DOMINGO,3,"['16-01-0681-46', '16-01-0915-46', '16-01-1176-46']",['INSTITUTO MIXTO PRIVADO SANTO DOMINGO']
COLEGIO MUNDO DE JUGUETES,3,"['10-14-0066-46', '10-14-0067-46', '10-14-0078-46']",['COLEGIO MUNDO DE JUGUETES']
COLEGIO MONTE SION,3,"['07-01-0096-46', '07-01-0156-46', '07-01-2568-46']",['COLEGIO MONTE SION']
COLEGIO MONTE ALTO,3,"['00-10-7591-46', '01-13-9630-46', '01-16-0057-46']",['COLEGIO MONTE ALTO']
COLEGIO MIXTO VALLE DEL POLOCHIC,3,"['16-07-0196-46', '16-07-0197-46', '16-07-0214-46']",['COLEGIO MIXTO VALLE DEL POLOCHIC']
COLEGIO MIXTO VALLE DE YAHVEH,3,"['01-15-0563-46', '01-15-0601-46', '01-15-0675-46']",['COLEGIO MIXTO VALLE DE YAHVEH']
LICEO FRANCO GUATEMALTECO,3,"['00-18-0004-46', '00-18-0005-46', '00-18-0229-46']",['LICEO FRANCO GUATEMALTECO']
LICEO EVANGELICO ROCA DE LOS SIGLOS,3,"['01-15-8968-46', '01-15-8969-46', '01-15-8970-46']",['LICEO EVANGELICO ROCA DE LOS SIGLOS']
LICEO EVANGELICO PRADOS DE VILLAHERMOSA,3,"['01-17-0317-46', '01-17-8493-46', '01-17-9121-46']",['LICEO EVANGELICO PRADOS DE VILLAHERMOSA']
INSTITUTO NORMAL MIXTO PRIVADO,3,"['13-08-0046-46', '13-08-4989-46', '13-08-5044-46']",['INSTITUTO NORMAL MIXTO PRIVADO']
INSTITUTO NORMAL MIXTO,3,"['05-07-2676-46', '12-15-0737-46', '13-02-0196-46']",['INSTITUTO NORMAL MIXTO']
INSTITUTO NACIONAL PC BRENDA ELIZABETH DEL CID MEDRANO,3,"['01-06-0061-46', '01-06-0062-46', '01-06-0172-46']",['INSTITUTO NACIONAL PC BRENDA ELIZABETH DEL CID MEDRANO']
INSTITUTO NACIONAL MARIA BELEN MEDRANO GARCIA,3,"['01-06-0084-46', '01-06-0085-46', '01-06-0178-46']",['INSTITUTO NACIONAL MARIA BELEN MEDRANO GARCIA']
INSTITUTO NACIONAL JACOBO ARBENZ GUZMAN,3,"['09-01-0125-46', '09-01-0197-46', '09-01-0525-46']",['INSTITUTO NACIONAL JACOBO ARBENZ GUZMAN']
INSTITUTO NACIONAL DE FORMACION TECNICA,3,"['00-05-0031-46', '00-05-0454-46', '00-05-3064-46']",['INSTITUTO NACIONAL DE FORMACION TECNICA']
LICEO EL CARMEN,3,"['01-15-7733-46', '03-06-0039-46', '03-06-0061-46']",['LICEO EL CARMEN']
COLEGIO MIXTO TEZULUTLAN,3,"['03-08-0019-46', '03-08-0054-46', '03-08-0057-46']",['COLEGIO MIXTO TEZULUTLAN']
LICEO TECNICO INTEGRAL,3,"['12-13-0099-46', '12-13-0105-46', '12-13-0106-46']",['LICEO TECNICO INTEGRAL']
LICEO TECNICO DEL SUR,3,"['10-01-2216-46', '10-01-2217-46', '10-01-2218-46']",['LICEO TECNICO DEL SUR']
LICEO TECNICO COMERCIAL MIRAMUNDO,3,"['00-01-7025-46', '00-07-0003-46', '00-07-0004-46']",['LICEO TECNICO COMERCIAL MIRAMUNDO']
LICEO SONIEL,3,"['01-14-0158-46', '01-14-0168-46', '01-14-0192-46']",['LICEO SONIEL']
COLEGIO MIXTO TECNOLOGICO DEL ROSARY,3,"['05-05-0028-46', '05-05-0029-46', '05-05-0064-46']",['COLEGIO MIXTO TECNOLOGICO DEL ROSARY']
COLEGIO MIXTO SANTA VICTORIA,3,"['05-09-0035-46', '05-09-0039-46', '05-09-0053-46']",['COLEGIO MIXTO SANTA VICTORIA']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADO,3,"['00-21-0023-46', '08-07-0112-46', '09-20-0119-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADO']
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA POR MADUREZ,3,"['00-18-0188-46', '00-18-0245-46', '01-17-0309-46']",['INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA POR MADUREZ']
INSTITUTO PRIVADO MIXTO SAN JOSE,3,"['18-04-0434-46', '18-04-0435-46', '18-04-0471-46']",['INSTITUTO PRIVADO MIXTO SAN JOSE']
INSTITUTO PRIVADO MIXTO SAN ANDRES DE LA VILLA,3,"['12-15-0166-46', '12-15-0167-46', '12-15-0184-46']",['INSTITUTO PRIVADO MIXTO SAN ANDRES DE LA VILLA']
INSTITUTO PRIVADO MIXTO PROF JOSE OTILIO FLORES CARBAJAL,3,"['17-10-2965-46', '17-10-3566-46', '17-10-3696-46']",['INSTITUTO PRIVADO MIXTO PROF JOSE OTILIO FLORES CARBAJAL']
INSTITUTO PRIVADO MIXTO MONJA BLANCA,3,"['16-01-0917-46', '16-01-1394-46', '16-01-2302-46']",['INSTITUTO PRIVADO MIXTO MONJA BLANCA']
CENTRO EDUCATIVO PROYECTO 70 7,3,"['00-21-0077-46', '00-21-0078-46', '00-21-0079-46']",['CENTRO EDUCATIVO PROYECTO 70 7']
COLEGIO MIXTO SAN JUAN BAUTISTA,3,"['09-09-0067-46', '09-09-0086-46', '09-09-0109-46']",['COLEGIO MIXTO SAN JUAN BAUTISTA']
COLEGIO MIXTO SAGRADA FAMILIA DE AMATITLAN,3,"['01-14-0163-46', '01-14-0178-46', '01-14-8167-46']",['COLEGIO MIXTO SAGRADA FAMILIA DE AMATITLAN']
