_EST_NORM,n,codigos,ejemplos
COLEGIO MIXTO LUIS CARDOZA Y ARAGON,13,"['01-15-0262-46', '05-06-0056-46', '05-06-0062-46', '05-06-0063-46', '05-06-0085-46', '05-07-0063-46', '05-07-0066-46', '05-07-0067-46', '05-07-0073-46', '05-07-0074-46']",['COLEGIO MIXTO LUIS CARDOZA Y ARAGON']
COLEGIO HIGA,13,"['02-01-0057-46', '02-01-0058-46', '02-01-0059-46', '19-01-0192-46', '19-01-0193-46', '19-01-0194-46', '19-01-0198-46', '19-01-0211-46']",['COLEGIO HIGA']
ESCUELA NACIONAL DE CIENCIAS COMERCIALES,13,"['01-10-2671-46', '01-11-2679-46', '01-15-9155-46', '05-06-0360-46', '07-01-0499-46', '09-20-0652-46', '10-01-0088-46', '12-02-0115-46', '13-02-0166-46', '16-01-0141-46']",['ESCUELA NACIONAL DE CIENCIAS COMERCIALES']
LICEO EXPERIMENTAL,13,"['12-15-0089-46', '12-15-0120-46', '12-15-0124-46', '12-15-0183-46', '12-16-0051-46', '12-16-0052-46', '12-16-0053-46', '12-16-0054-46', '12-16-0056-46', '12-22-0020-46']",['LICEO EXPERIMENTAL']
INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL IMEBI,13,"['15-08-0247-46', '16-01-0609-46', '16-08-0182-46', '16-09-0763-46', '16-11-0055-46', '16-13-0227-46', '16-14-0074-46', '16-16-0072-46', '16-17-0120-46', '16-17-0150-46']",['INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL IMEBI']
COLEGIO EVANGELICO MIXTO SINAI,12,"['11-01-0153-46', '11-01-0155-46', '11-01-0298-46', '11-01-0300-46', '11-01-0474-46', '11-01-1220-46']",['COLEGIO EVANGELICO MIXTO SINAI']
INSTITUTO EVANGELICO AMERICA LATINA,12,"['00-13-0058-46', '00-13-0074-46', '00-13-0078-46', '00-13-0942-46', '04-01-0055-46', '04-01-0105-46', '04-01-0129-46', '04-01-0229-46', '04-01-0312-46', '04-01-0333-46']",['INSTITUTO EVANGELICO AMERICA LATINA']
COLEGIO CRISTIANO MARANATHA,12,"['11-08-0064-46', '11-08-0066-46', '11-08-0070-46', '11-08-0071-46', '11-08-0081-46', '18-01-0167-46', '18-01-0168-46']",['COLEGIO CRISTIANO MARANATHA']
COLEGIO TECNOLOGICO BLAISE PASCAL,12,"['11-01-0212-46', '11-01-0271-46', '11-01-0272-46', '11-01-0419-46', '11-01-0420-46', '11-01-0531-46']",['COLEGIO TECNOLOGICO BLAISE PASCAL']
COLEGIO MIXTO ADVENTISTA EL XAB,12,"['11-01-0224-46', '11-09-0041-46', '11-09-0054-46', '11-09-0055-46', '11-09-0079-46', '11-09-0091-46']",['COLEGIO MIXTO ADVENTISTA EL XAB']
LICEO INTERCULTURAL PACHALUMENSE,12,"['14-21-0023-46', '14-21-0024-46', '14-21-0025-46', '14-21-0036-46', '14-21-6000-46', '14-21-6029-46']",['LICEO INTERCULTURAL PACHALUMENSE']
CENTRO OFICIAL DE EDUCACION EXTRAESCOLAR COEEX,12,"['14-03-0043-46', '14-13-0127-46', '14-14-0070-46', '14-17-0031-46', '14-18-0041-46', '14-19-0097-46']",['CENTRO OFICIAL DE EDUCACION EXTRAESCOLAR COEEX']
INSTITUTO TECNOLOGIA Y CIENCIA,12,"['05-06-0046-46', '05-06-0052-46', '05-06-0053-46', '05-06-0054-46', '05-06-0080-46', '05-06-0081-46', '05-06-0082-46', '05-06-0093-46', '05-06-0100-46', '05-06-0102-46']",['INSTITUTO TECNOLOGIA Y CIENCIA']
INSTITUTO NORMAL MIXTO CIENCIA Y ARTE,12,"['14-20-0124-46', '14-20-0126-46', '14-20-0152-46', '14-20-0180-46', '14-20-5707-46', '14-20-5966-46']",['INSTITUTO NORMAL MIXTO CIENCIA Y ARTE']
COLEGIO CRISTIANO EDUCOM,12,"['11-08-0052-46', '11-08-0054-46', '11-08-0056-46', '11-08-0058-46', '11-08-0059-46', '11-08-0077-46']",['COLEGIO CRISTIANO EDUCOM']
CENTRO EDUCATIVO MAYA,12,"['05-01-0153-46', '18-05-0083-46', '18-05-0084-46', '18-05-0085-46', '18-05-0086-46', '18-05-0114-46', '18-05-0117-46', '18-05-0118-46', '18-05-0137-46', '18-05-0152-46']",['CENTRO EDUCATIVO MAYA']
LICEO NUEVA GENERACION,12,"['00-01-8481-46', '00-01-8484-46', '00-01-8485-46', '01-13-0070-46', '01-13-0071-46', '01-13-0072-46', '01-13-0114-46', '04-01-0125-46', '04-01-0128-46', '04-01-0161-46']",['LICEO NUEVA GENERACION']
COLEGIO CRISTIANO ELIM,12,"['00-07-2960-46', '01-08-0143-46', '01-08-0799-46', '01-08-1029-46', '01-08-1030-46', '01-08-2998-46', '01-08-9559-46', '01-08-9690-46', '12-15-0211-46', '12-15-0212-46']",['COLEGIO CRISTIANO ELIM']
INSTITUTO TECNOLOGICO EMPRESARIAL,11,"['03-01-0127-46', '03-01-0128-46', '03-01-0129-46', '03-01-0133-46', '03-01-0167-46', '03-01-0246-46', '12-15-0150-46', '12-15-0162-46', '12-15-0163-46', '12-15-0164-46']",['INSTITUTO TECNOLOGICO EMPRESARIAL']
CENTRO EDUCATIVO INTELLECTUS PRE UNIVERSITARIO,11,"['01-15-0364-46', '01-15-0365-46', '01-15-0367-46', '01-15-0544-46', '01-15-0664-46', '01-15-0747-46', '01-17-0384-46', '01-17-0387-46', '01-17-0389-46', '01-17-0392-46']",['CENTRO EDUCATIVO INTELLECTUS PRE UNIVERSITARIO']
LICEO COMERCIAL TECNOLOGICO EL RODEO,11,"['00-07-8006-46', '00-07-8008-46', '00-07-8011-46', '00-19-0048-46', '00-19-0052-46', '00-19-0053-46', '00-19-0099-46', '01-08-7776-46', '01-08-7778-46', '01-08-7781-46']",['LICEO COMERCIAL TECNOLOGICO EL RODEO']
LICEO DE COMPUTACION SIGLO 21,11,"['00-01-0776-46', '00-01-9035-46', '00-01-9037-46', '00-01-9622-46', '10-10-0050-46', '10-10-0074-46', '10-10-0079-46', '10-10-0080-46', '10-10-0096-46', '10-10-2491-46']",['LICEO DE COMPUTACION SIGLO 21']
INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO,11,"['00-01-0366-46', '00-01-2908-46', '00-01-4376-46', '03-01-0230-46', '03-01-0259-46', '03-01-1425-46', '05-01-3098-46', '15-01-2062-46', '17-01-0130-46', '17-01-1119-46']",['INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO']
ESCUELA SUPERIOR DE INFORMATICA,11,"['00-01-0598-46', '00-01-0721-46', '00-01-4009-46', '00-01-4010-46', '00-02-0062-46', '00-02-0064-46', '00-02-0072-46', '00-02-0080-46', '00-19-7896-46', '00-19-8026-46']",['ESCUELA SUPERIOR DE INFORMATICA']
COLEGIO PARTICULAR MIXTO SAN JOSE,11,"['06-09-1707-46', '06-09-1997-46', '06-10-1988-46', '16-09-0806-46', '21-07-0095-46', '21-07-0126-46', '22-01-0364-46', '22-14-0084-46', '22-14-0086-46', '22-14-0092-46']",['COLEGIO PARTICULAR MIXTO SAN JOSE']
